community_id,product_id,community_size
0,164985,3
0,225214,3
0,232761,3
1,105089,3
1,282815,3
1,331787,3
2,167906,5
2,288975,5
2,421279,5
2,442612,5
2,451312,5
3,69880,4
3,231953,4
3,518997,4
3,523128,4
4,135499,3
4,160294,3
4,304770,3
5,112813,4
5,112814,4
5,112821,4
5,112823,4
6,199372,5
6,399560,5
6,447268,5
6,471226,5
6,522928,5
7,179001,3
7,391697,3
7,412528,3
8,21166,5
8,207188,5
8,405926,5
8,531532,5
8,540207,5
9,118948,5
9,191846,5
9,209822,5
9,455700,5
9,482725,5
10,55727,4
10,78359,4
10,170327,4
10,335007,4
11,12147,5
11,73388,5
11,178783,5
11,269070,5
11,439998,5
12,24632,5
12,82995,5
12,156987,5
12,236045,5
12,280502,5
13,42888,4
13,58675,4
13,217362,4
13,260685,4
14,4092,6
14,104191,6
14,128901,6
14,341575,6
14,389644,6
14,413419,6
15,246337,5
15,301834,5
15,353399,5
15,497007,5
15,533982,5
16,213603,6
16,213604,6
16,213613,6
16,213615,6
16,213617,6
16,249025,6
17,219649,6
17,233695,6
17,337976,6
17,337981,6
17,444709,6
17,499056,6
18,99505,6
18,126694,6
18,133115,6
18,264885,6
18,502972,6
18,522555,6
19,75000,6
19,156489,6
19,207684,6
19,278335,6
19,321867,6
19,388736,6
20,348108,6
20,372238,6
20,396166,6
20,415253,6
20,443821,6
20,492595,6
21,124,6
21,243477,6
21,302516,6
21,318491,6
21,320027,6
21,366784,6
22,12526,5
22,33054,5
22,346440,5
22,501788,5
22,538991,5
23,147735,6
23,169543,6
23,219957,6
23,284749,6
23,346229,6
23,461219,6
24,30704,7
24,100579,7
24,103897,7
24,137990,7
24,373778,7
24,428792,7
24,483698,7
25,11799,6
25,11804,6
25,147132,6
25,449388,6
25,452567,6
25,533929,6
26,335486,7
26,338843,7
26,359673,7
26,363073,7
26,483701,7
26,486195,7
26,508622,7
27,32428,7
27,118086,7
27,141599,7
27,170269,7
27,323498,7
27,367483,7
27,411766,7
28,135652,7
28,152314,7
28,172487,7
28,220229,7
28,249463,7
28,340532,7
28,389009,7
29,36892,5
29,296324,5
29,332135,5
29,373569,5
29,395227,5
30,132737,7
30,135088,7
30,364856,7
30,428580,7
30,428582,7
30,474613,7
30,516378,7
31,5384,7
31,110507,7
31,110512,7
31,110748,7
31,192985,7
31,372395,7
31,432505,7
32,65390,7
32,180936,7
32,182210,7
32,214026,7
32,295115,7
32,319423,7
32,367843,7
33,25705,7
33,176603,7
33,231588,7
33,288881,7
33,343798,7
33,402905,7
33,464872,7
34,119540,4
34,273430,4
34,290053,4
34,538298,4
35,2770,7
35,20182,7
35,20183,7
35,20185,7
35,20186,7
35,119246,7
35,262820,7
36,75183,6
