year_month,total_price_gbp,year_month_dt,label
2010-12,630229.13,2010-12-01,"Dec
2010"
2011-01,475455.93,2011-01-01,"Jan
2011"
2011-02,415747.5,2011-02-01,"Feb
2011"
2011-03,556212.85,2011-03-01,"Mar
2011"
2011-04,423763.81,2011-04-01,"Apr
2011"
2011-05,606594.95,2011-05-01,"May
2011"
2011-06,546481.01,2011-06-01,"Jun
2011"
2011-07,551300.46,2011-07-01,"Jul
2011"
2011-08,563591.7,2011-08-01,"Aug
2011"
2011-09,810443.11,2011-09-01,"Sep
2011"
2011-10,879307.1,2011-10-01,"Oct
2011"
2011-11,1183322.93,2011-11-01,"Nov
2011"
2011-12,362258.52999999997,2011-12-01,"Dec
2011"
